Feature,Coefficient,Abs_Coefficient
question_difficulty,3.813024903417449,3.813024903417449
student_success_rate,2.564159079056041,2.564159079056041
ability_difficulty_gap,-1.2488658243627564,1.2488658243627564
topic_familiarity,1.1626200572464425,1.1626200572464425
subtopic_difficulty,-0.758754285006681,0.758754285006681
topic_difficulty,-0.7334183584851682,0.7334183584851682
country_avg_performance,-0.7176034753952726,0.7176034753952726
Student Country_Russian Federation,-0.47028120564000203,0.47028120564000203
student_topic_success_rate,0.4292016987627138,0.4292016987627138
Student Country_Lithuania,-0.42860203654543466,0.42860203654543466
Student Country_Spain,-0.35282206113898823,0.35282206113898823
Topic_Optimization,-0.3461122128389214,0.3461122128389214
Student Country_Portugal,-0.3307140031343487,0.3307140031343487
Student Country_Italy,-0.2959157080275855,0.2959157080275855
Subtopic_Linear Optimization,-0.26223320745326395,0.26223320745326395
Student Country_Ireland,-0.2532451724935373,0.2532451724935373
Student Country_Slovenia,0.22536581387223795,0.22536581387223795
Topic_Differentiation,-0.218744430501067,0.218744430501067
Topic_Differential Equations,-0.2132417695742054,0.2132417695742054
Subtopic_Differential Equations,-0.2132417695742054,0.2132417695742054
Topic_Integration,-0.20105992716875734,0.20105992716875734
Topic_Real Functions of a single variable,-0.17252636357425588,0.17252636357425588
Subtopic_Linear Systems,-0.16801863731989036,0.16801863731989036
Topic_Linear Algebra,-0.1668385055256478,0.1668385055256478
Subtopic_Analytic Geometry,-0.136713362420448,0.136713362420448
Topic_Analytic Geometry,-0.136713362420448,0.136713362420448
Subtopic_Elementary Geometry,-0.11857027211831175,0.11857027211831175
Topic_Fundamental Mathematics,-0.11449451788783105,0.11449451788783105
Subtopic_Partial Differentiation,-0.11021082321423059,0.11021082321423059
Subtopic_Derivatives,-0.10853360728683491,0.10853360728683491
Student Country_Romania,0.0972934415945087,0.0972934415945087
Topic_Probability ,-0.09520786021502968,0.09520786021502968
Subtopic_Probability ,-0.09520786021502968,0.09520786021502968
"Subtopic_Domain, Image and Graphics",-0.09054070176457335,0.09054070176457335
Subtopic_Definite Integrals,-0.0900701387237047,0.0900701387237047
Subtopic_Nonlinear Optimization,-0.0838790053856589,0.0838790053856589
Topic_Statistics,-0.0827612238514858,0.0827612238514858
Subtopic_Statistics,-0.0827612238514858,0.0827612238514858
Subtopic_Limits and Continuity,-0.08198566180968461,0.08198566180968461
Topic_Numerical Methods,-0.08068986147857433,0.08068986147857433
Subtopic_Numerical Methods,-0.08068986147857433,0.08068986147857433
Topic_Graph Theory,0.06896985800681958,0.06896985800681958
Subtopic_Graph Theory,0.06896985800681958,0.06896985800681958
Subtopic_Matrices and Determinants,0.06404197863937643,0.06404197863937643
Subtopic_Linear Transformations,-0.06347870918567737,0.06347870918567737
Subtopic_Double Integration,-0.0619370395113832,0.0619370395113832
Subtopic_Eigenvalues and Eigenvectors,0.061272286510476275,0.061272286510476275
Subtopic_Vector Spaces,-0.06065542417021957,0.06065542417021957
Subtopic_Integration Techniques,-0.04905274893367023,0.04905274893367023
Subtopic_Complex Numbers,-0.042995074534166115,0.042995074534166115
Topic_Complex Numbers,-0.042995074534166115,0.042995074534166115
Topic_Set Theory,-0.006505679949501926,0.006505679949501926
Subtopic_Set Theory,-0.006505679949501926,0.006505679949501926
"Subtopic_Algebraic expressions, Equations, and Inequalities",0.004075754230464735,0.004075754230464735
student_num_attempts,-0.00024441477817335294,0.00024441477817335294
question_level_advanced,0.0,0.0
